Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code,Latitude,Longitude,Effective Rating
Sankalp Multispecialty Hospital,PUNE,MAHARASHTRA,5.0,4.0,"JQ3J+RF Pimpri-Chinchwad, Maharashtra",18.6045625,73.7811875,0.726909397092766
Ayushri Multispecialty Hospital,PUNE,MAHARASHTRA,4.8,392.0,"JR62+76 Pune, Maharashtra",18.6106875,73.8005625,2.76579217161382
"Dr DY Patil Medical College, Hospital and 
Research Centre",PUNE,MAHARASHTRA,4.2,2673.0,"JRFC+MF Pimpri-Chinchwad, Maharashtra",18.6241875,73.8211875,3.2075598707149964
Jupiter Life Line Hospitals,PUNE,MAHARASHTRA,4.6,9469.0,"HQ8P+79 Pune, Maharashtra",18.5656875,73.7859375,4.094542185786819
Vishwaraj Hospital,PUNE,MAHARASHTRA,4.6,17.0,"GR59+3W Pune, Maharashtra",18.5076875,73.8198125,1.245698750194739
Ashtvinayak Hospital,PUNE,MAHARASHTRA,5.0,161.0,"HW8X+MV Pune, Maharashtra",18.5666875,73.9496875,2.4459000629826466
"Chellaram Hospital Diabetes Care And 
Multispecialty",PUNE,MAHARASHTRA,4.1,566.0,"GQ9C+R2 Pune, Maharashtra",18.5195625,73.7700625,2.5010052373445846
"Apollo Spectra Hospital A Unit Of Apollo 
Specialty Hospital",PUNE,MAHARASHTRA,4.6,3498.0,,18.6253125,73.8019375,3.6418328783646072
Citi Care Hospital Pimpri,PUNE,MAHARASHTRA,4.4,245.0,"JRG2+4Q Pimpri-Chinchwad, Maharashtra",18.6253125,73.8019375,2.3258506974351163
Jivan Rekha Multispeciality Hospital,PUNE,MAHARASHTRA,4.4,292.0,"MPHJ+QR Dehu Road, Maharashtra",18.6794375,73.7320625,2.4018921307969645
Sarvadnya Hospital,PUNE,MAHARASHTRA,4.6,30.0,"MRHX+P4 Pimpri-Chinchwad, Maharashtra",18.6793125,73.8478125,1.492873313205803
Apple Hospital,PUNE,MAHARASHTRA,4.5,535.0,"HQQJ+C3 Pimpri-Chinchwad, Maharashtra",18.5885625,73.7801875,2.726680993198776
Avan Multispeciality Hospital,PUNE,MAHARASHTRA,3.6,12.0,"CQVJ+56 Pune, Maharashtra",18.4429375,73.7805625,0.8442015052874937
Ayush Multispeciality Hospital,PUNE,MAHARASHTRA,4.3,121.0,"JRHC+W7 Pimpri-Chinchwad, Maharashtra",18.6298125,73.8206875,1.9733532423661224
Oyster And Pearl Hospital Pvt Ltd,PUNE,MAHARASHTRA,4.4,1162.0,"GRJW+QW Pune, Maharashtra",18.5319375,73.8473125,3.0014630376227114
Nucare Hospital,PUNE,MAHARASHTRA,3.3,71.0,"HQ7J+MM Pune, Maharashtra",18.5641875,73.7816875,1.3264834905957683
Yashorahi Multispeciality Hospital,PUNE,MAHARASHTRA,3.4,35.0,"FQ9M+6V Pune, Maharashtra",18.4680625,73.7846875,1.135808386316875
Apex Hospital,PUNE,MAHARASHTRA,4.3,81.0,"JQ3G+Q5 Pune, Maharashtra",18.6044375,73.7754375,1.804486883046214
Shri Siddhivinayak Criticare Hospital,PUNE,MAHARASHTRA,4.8,302.0,"FR58+3P Pune, Maharashtra",18.4576875,73.8168125,2.642397326907486
Jeevan Rakshak Hospital,PUNE,MAHARASHTRA,3.8,98.0,"HXC3+VR Pune, Maharashtra",18.5721875,73.9545625,1.6574613264016114
Panortho Multispeciality Hospital,PUNE,MAHARASHTRA,2.3,3.0,"MQ49+G6 Nigdi, Pimpri-Chinchwad, Maharashtra",18.6563125,73.7680625,0.24665056613738537
Deoyani Multispeciality Hospital,PUNE,MAHARASHTRA,4.0,339.0,"FRW7+92 Pune, Maharashtra",18.4959375,73.8125625,2.2361315485940176
Ashtavinayak Hospital,PUNE,MAHARASHTRA,4.1,228.5,,18.5013125,73.8384929,2.134461682575174
Niramaya Hospital Pvt Ltd,PUNE,MAHARASHTRA,3.5,361.0,,18.5013125,73.8384929,1.969741870643393
Global Hospital And Research Institute,PUNE,MAHARASHTRA,4.2,476.0,"GR2R+GC Pune, Maharashtra",18.5013125,73.8384929,2.4919210094985687
Unique Childrens Hospital Pvt Ltd,PUNE,MAHARASHTRA,3.0,150.0,"JQQV+GP Chinchwad, Pimpri-Chinchwad, Maharashtra",18.6388125,73.7917429,1.4192831429224464
"Saishree Hospital and Joint Replacement 
Centre",PUNE,MAHARASHTRA,4.8,3303.0,"HR64+33 Pune, Maharashtra",18.5601875,73.8026179,3.775945444244717
Icon Hospital,PUNE,MAHARASHTRA,3.7,197.0,"MQCP+PX Talwade, Pimpri-Chinchwad, Maharashtra",18.6718125,73.7848679,1.8655428926131117
Sparsh Hospital Pune,PUNE,MAHARASHTRA,4.5,476.0,"PM3M+JQ Somatane, Maharashtra",18.7040625,73.6818679,2.674809227759128
Jaihind Hospital,PUNE,MAHARASHTRA,4.9,45.0,"FW28+7R Pune, Maharashtra",18.4506875,73.9144929,1.7858496898024747
Moraya Multispeciality Hospital,PUNE,MAHARASHTRA,4.6,1401.0,"FR78+Q4 Pune, Maharashtra",18.4644375,73.8127429,3.225986940346204
Mhatre Accident Hospital,RAIGAD,MAHARASHTRA,3.4,99.0,"X4R7+HH Navi Mumbai, Maharashtra",18.9914375,73.1113679,1.479157350474962
Dandekar Hospital Panvel,RAIGAD,MAHARASHTRA,3.8,100.0,"X4R7+83 Navi Mumbai, Maharashtra",18.9908125,73.1101179,1.664973787294073
Shelar Hospital & ICU,RAIGAD,MAHARASHTRA,4.0,341.0,"2455+MH Navi Mumbai, Maharashtra",19.0091875,73.1063679,2.2384504965814154
Sukham Hospital,RAIGAD,MAHARASHTRA,4.5,186.0,"X4J8+84 Navi Mumbai, Maharashtra",18.9808125,73.1127429,2.2582931927387055
Chirayu Children Hospital,RAIGAD,MAHARASHTRA,3.9,92.0,"2446+GR Navi Mumbai, Maharashtra",19.0063125,73.1094929,1.6787804452413002
Gandhi Hospital Panvel,RAIGAD,MAHARASHTRA,3.4,245.0,"X4P8+W6 Navi Mumbai, Maharashtra",18.9873125,73.1129929,1.7816768920750279
"Lifecare Multispeciality Hospital And 
Nursing Home",RAIGAD,MAHARASHTRA,4.3,128.0,"X4PJ+F2 Navi Mumbai, Maharashtra",18.9873125,73.1129929,1.997066409137519
Sparsh Superspeciality Hospital,RAIGAD,MAHARASHTRA,4.5,203.0,"X4R8+V3 Navi Mumbai, Maharashtra",18.9921875,73.1126179,2.2969960216558416
Veer Hospital And Icu,RAIGAD,MAHARASHTRA,4.2,181.0,"2446+GQ Navi Mumbai, Maharashtra",19.0063125,73.1093679,2.0919213853736687
Mathoshree Multispeciality Hospital,RAIGAD,MAHARASHTRA,4.8,149.0,"X4R7+WR Navi Mumbai, Maharashtra",18.9923125,73.1119929,2.308808917204489
"Prachin Healthcare Multispeciality 
Hospital",RAIGAD,MAHARASHTRA,4.6,761.0,"X4X5+39 Panvel, Navi Mumbai, Maharashtra",18.9976875,73.1058679,2.948760757866324
Om Hospital Cardiac Medical Centre,THANE,MAHARASHTRA,4.2,127.0,"637P+JP Dombivli, Maharashtra",19.2140625,73.0842429,1.945798910639374
Jupiter Life Line Hospitals Ltd,THANE,MAHARASHTRA,4.6,14294.0,"6X5C+VX Thane, Maharashtra",19.2096875,72.9698679,4.281773378800258
Dandekar Hospital ( Dombivili ),THANE,MAHARASHTRA,3.8,118.0,"638R+34 Dombivli, Maharashtra",19.2151875,73.0877429,1.7265750310699546
Tanwar Hospital,THANE,MAHARASHTRA,3.9,101.0,"7VV7+G2 Thane, Maharashtra",19.2938125,72.8599929,1.7143898992996587
Mahesh Hospital,Thane,MAHARASHTRA,4.2,61.0,"64FP+X3 Kalyan, Maharashtra",19.2249375,73.1326179,1.6448594931757898
Kalpana Lifeline Hospital,THANE,MAHARASHTRA,4.8,107.0,"6X2F+J8 Thane, Maharashtra",19.2015625,72.9707429,2.1529483893213515
"Pranjali Maternity Surgical And General 
Hospital",THANE,MAHARASHTRA,3.7,35.0,,19.2040625,72.9679929,1.242072130358006
Orthocare Hospital,Thane,MAHARASHTRA,4.9,13.0,"6X3C+J6 Thane, Maharashtra",19.2040625,72.9679929,1.2096866789496703
"Ashirwad Maternity And General 
Hospital, Bhayndar",THANE,MAHARASHTRA,3.8,261.0,"8V73+QG Mira Bhayandar, Maharashtra",19.3144375,72.8512429,2.023014748053827
Ishwar Criticare Hospital LLP,THANE,MAHARASHTRA,3.0,23.0,"6X66+4H Thane, Maharashtra",19.2103125,72.9588679,0.8738889509520227
Riddhi Vinayak Multispeciality Hospital,THANE,MAHARASHTRA,4.1,1131.0,"CRP6+GF Nalasopara West, Nala Sopara, Maharashtra",19.4363125,72.8086179,2.7811974442245004
Chirayu Superspeciality Hospital,THANE,MAHARASHTRA,4.3,317.0,"7VW6+76 Mira Bhayandar, Maharashtra",19.2956875,72.8579929,2.3805477135077386
Sai Hospital And Icu,THANE,MAHARASHTRA,4.1,356.0,"53FM+CR Dombivli, Maharashtra",19.1735625,73.0819929,2.3135205848668265
Shree Ashirwad Hospital,THANE,MAHARASHTRA,4.7,424.0,"568W+95 Badlapur, Maharashtra",19.1659375,73.2428679,2.743110530518438
Om Hospital And Polyclinic ( Dombivili ),THANE,MAHARASHTRA,4.2,127.0,"637P+JP Dombivli, Maharashtra",19.2140625,73.0842429,1.945798910639374
Aashirwad Hospital (Kalyan),Thane,MAHARASHTRA,3.5,107.0,"64FJ+WH Kalyan, Maharashtra",19.2248125,73.1288679,1.5513023130480574
"Kaushalya Medical Foundation Trust 
Hospital",THANE,MAHARASHTRA,4.3,967.0,"6X28+3J Thane, Maharashtra",19.2001875,72.9639929,2.853686204274681
Kalsekar Hospital,THANE,MAHARASHTRA,2.4,29.0,,19.2440625,73.1199929,0.7383441827714287
Phadke Hospital,THANE,MAHARASHTRA,3.4,81.0,"64VF+J2 Kalyan, Maharashtra",19.2440625,73.1199929,1.412463432749484
Sahil Hospital,THANE,MAHARASHTRA,3.2,34.0,"6X3C+5P Thane, Maharashtra",19.2029375,72.9692429,1.0560553405248172
Shreedevi Hospital,Thane,MAHARASHTRA,4.4,737.0,"64PG+CW Mumbai, Maharashtra",19.2360625,73.1247429,2.803656350679938
Prakruti Hospital (Thane),THANE,MAHARASHTRA,3.5,132.0,"5XXR+MH Thane, Maharashtra",19.1991875,72.9888679,1.6233367661880374
Kevalya Hospital,Thane,MAHARASHTRA,4.0,335.0,"7X6F+M4 Thane, Maharashtra",19.2616875,72.9702429,2.231452446665198
Thunga Hospital Pvt Ltd,THANE,MAHARASHTRA,4.3,2658.0,"7VR6+WX Mira Bhayandar, Maharashtra",19.2923125,72.8598679,3.28317066449559
"Orbit Super Speciality Hospital And 
Accident Centre",THANE,MAHARASHTRA,4.5,229.0,"7V9H+HH Mumbai, Maharashtra",19.2689375,72.8763679,2.350354157214045
Dr Thakurs Shree Hospital,THANE,MAHARASHTRA,3.3,4.0,"5WQW+Q7 Thane, Maharashtra",19.1894375,72.9431179,0.45646542639047244
Dhanvantari Hospital (Thane),THANE,MAHARASHTRA,3.8,78.0,"7XF6+9V Thane, Maharashtra",19.2734375,72.9596179,1.5726965492136615
"Vijay Vallabh Hospital And Medical 
Research Centre",THANE,MAHARASHTRA,3.5,264.0,,19.4276875,72.8188679,1.8618328863917464
"Vijayalaxmi Maternity, Surgical & General 
Hospital",THANE,MAHARASHTRA,4.6,534.0,"CRHC+3H Nalasopara East, Nala Sopara, Maharashtra",19.4276875,72.8188679,2.7879473506458328
Bethany Hospital (Thane),THANE,MAHARASHTRA,3.4,901.0,"6X96+XP Thane, Maharashtra",19.2199375,72.9592429,2.2183302684860307
Sai Aashirwad Hospital,THANE,MAHARASHTRA,4.2,61.0,"7VP7+GC Thane, Maharashtra",19.2863125,72.8609929,1.6448594931757898
"Siddhivinayak Maternity And General 
Hospital",THANE,MAHARASHTRA,4.8,1863.0,"6X56+F3 Thane, Maharashtra",19.2086875,72.9576179,3.5043628381186154
Rathod Hospital,THANE,MAHARASHTRA,5.0,6.0,"5XMG+MP Thane East, Thane, Maharashtra",19.1841875,72.9742429,0.8932021772869534
Bijankur Hospital Pvt. Ltd,THANE,MAHARASHTRA,3.8,24.0,"538H+PH Nilje Gaon, Maharashtra",19.1668125,73.0763679,1.1405295875786268
Khadakpada Multispeciality Hospital,THANE,MAHARASHTRA,4.6,1188.0,"743Q+95 Kalyan, Maharashtra",19.2534375,73.1353679,3.151060451017137
Nulife Hospital,THANE,MAHARASHTRA,2.7,39.0,"637V+XC Dombivli, Maharashtra",19.2149375,73.0909929,0.9159783870105451
Dr Thakurs Vedant Hospital,THANE,MAHARASHTRA,2.2,20.0,"743R+XP Kalyan, Maharashtra",19.2549375,73.1392429,0.593543918785077
"Aarogya Multispecialty Hospital And 
Trauma Centre",THANE,MAHARASHTRA,3.8,54.0,"6222+M8 Thane, Maharashtra",19.2016875,72.9982429,1.436682469479052
Aarogyadhan Hospital,THANE,MAHARASHTRA,4.0,10.0,"5XR2+GJ Thane, Maharashtra",19.1913125,72.9489929,0.8795645841290163
Aarogyam MultiSpeciality Hospital,THANE,MAHARASHTRA,3.2,70.0,"5XMG+HM Thane, Maharashtra",19.1839375,72.9741179,1.2797869392974686
"Aarogyam Multi Speciality Hospital And 
Iccu",THANE,MAHARASHTRA,3.2,70.0,"5XMG+HM Thane, Maharashtra",19.1839375,72.9741179,1.2797869392974686
Aayush Hospital(Thane),THANE,MAHARASHTRA,4.8,203.0,"5XX8+96 Thane, Maharashtra",19.1984375,72.9629929,2.4546966928428495
Alliance Hospital,THANE,MAHARASHTRA,3.1,183.0,"CR9C+VW Nalasopara East, Nala Sopara, Maharashtra",19.4196875,72.8197429,1.5294419341497782
"Am Pm 24 Hrs Hospital Multispeciality 
Trauma And Research Centre",THANE,MAHARASHTRA,4.0,102.0,"64QG+2F Kalyan West, Kalyan, Maharashtra",19.2375625,73.1236179,1.763962776637023
Anish Hospital(Thane),THANE,MAHARASHTRA,4.0,8.0,"636V+43 Dombivli, Maharashtra",19.2103125,73.0901179,0.800223505204947
Apex Hospital,Thane,MAHARASHTRA,4.0,36.0,"63CP+P4 Dombivli, Maharashtra",19.2218125,73.0827429,1.3591688670714912
Apex Hospital(Kalyan),Thane,MAHARASHTRA,3.9,116.0,"64VF+M9 Kalyan, Maharashtra",19.2441875,73.1208679,1.7672802471442566
Arth Hospital,Thane,MAHARASHTRA,3.8,59.0,"CR3H+RM Vasai-Virar, Maharashtra",19.4045625,72.8266179,1.4693648583424117
Asha Hospital,THANE,MAHARASHTRA,4.7,71.0,"5XVC+86 Thane, Maharashtra",19.1933125,72.9679929,1.9183006273966954
Ashirwad Hospital (Bhiwandi),Thane,MAHARASHTRA,3.7,24.0,"73X7+2C Bhiwandi, Maharashtra",19.2975625,73.0609929,1.1087126498489452
Balaji Hospital Bhayandar,THANE,MAHARASHTRA,3.7,78.0,"7VW5+3M Mira Bhayandar, Maharashtra",19.2951875,72.8566179,1.5295067967041107
Balaji Hospital-Thane,THANE,MAHARASHTRA,3.4,18.0,,19.3643125,72.8026179,0.9210311396131938
Cardinal Gracias Memorial Hospital,Thane,MAHARASHTRA,3.0,422.0,"9R74+P3 Sandor, Maharashtra",19.3643125,72.8026179,1.7247411881386407
"Criticare Superspeciality Hospital( Thane 
)",THANE,MAHARASHTRA,3.3,177.0,"6X28+J2 Thane, Maharashtra",19.2015625,72.9624929,1.6217220133040968
Crystal Hospitals Ltd (Dahisar),Thane,MAHARASHTRA,3.7,51.0,"7V36+2H Mumbai, Maharashtra",19.2525625,72.8588679,1.3765586565542518
Currae Gynaec Ivf Birthing Hospital,THANE,MAHARASHTRA,4.4,1353.0,"7X4C+9J Thane, Maharashtra",19.2559375,72.9689929,3.0675967156992607
"Currae Speciality Hospital (A Unit Of 
Patni Healthcare Ltd)",THANE,MAHARASHTRA,2.3,9.0,"7X4C+7M Thane, Maharashtra",19.2556875,72.9691179,0.4549630438853942
Dr Godboles Heart Care Hospital,THANE,MAHARASHTRA,4.4,723.0,"5XP8+6W Thane, Maharashtra",19.1855625,72.9647429,2.795326623732597
Dr Harne Hospital,Thane,MAHARASHTRA,4.1,160.0,"639P+GJ Dombivli West, Dombivli, Maharashtra",19.2188125,73.0839929,1.9907961407956278
Dr Uppals Ent Hospital,THANE,MAHARASHTRA,4.5,228.0,"6X9H+M9 Thane, Maharashtra",19.2191875,72.9758679,2.3484160193512857
Dr Bhanushali Hospital,THANE,MAHARASHTRA,4.7,359.0,"5XQG+79 Thane, Maharashtra",19.1881875,72.9733679,2.665998664044213
Dsouza Hospital,Thane,MAHARASHTRA,5.0,2.0,"7X5J+5R Thane West, Mumbai, Maharashtra",19.2579375,72.9794929,0.47444692344711425
"Gayatri Maternity And Ear Nose Throat 
Hospital",THANE,MAHARASHTRA,4.8,138.0,"5XVC+46 Thane, Maharashtra",19.1928125,72.9679929,2.2726737483653117
Golden Park Hospital,Thane,MAHARASHTRA,3.4,73.0,"6X6G+GR Thane, Maharashtra",19.2113125,72.9744929,1.3779641869959072
Gurukrupa Hospital,Thane,MAHARASHTRA,4.1,12.0,"6X2F+CH Thane, Maharashtra",19.2010625,72.9713679,0.9709675540981556
Gurukrupa Hospital And Polyclinic,THANE,MAHARASHTRA,4.6,684.0,"8V53+6Q Bhayandar, Sonam Sagar, Mira Bhayandar, Maharashtra",19.3080625,72.8518679,2.900324051057925
Highland Super Speciality Hospital,THANE,MAHARASHTRA,4.5,851.0,"6XFH+GR Thane, Maharashtra",19.2238125,72.9769929,2.9328255026154206
Highway Hospital,THANE,MAHARASHTRA,4.7,577.0,"5XQ7+R5 Thane, Maharashtra",19.2136969,72.9695534,2.8859589774976655
Holy Cross Hospital(Thane),THANE,MAHARASHTRA,3.7,247.0,"64RR+69 Kalyan, Maharashtra",19.2405625,73.1383679,1.9478903942845744
Horizon Hospital,THANE,MAHARASHTRA,4.5,849.0,"5XP9+P2 Mumbai, Maharashtra",19.1868125,72.9649929,2.9317801391830334
Icon Multispeciality Hospital & ICU,THANE,MAHARASHTRA,3.9,107.0,"5XR9+72 Thane, Maharashtra",19.1906875,72.9649929,1.7364241826706093
Jk Women Hospital,THANE,MAHARASHTRA,4.3,1367.0,"638R+C7 Dombivli, Maharashtra",19.2160625,73.0881179,3.0006936341699717
Jijai Women'S Hospital,Thane,MAHARASHTRA,4.8,336.0,"7X88+7M Thane, Maharashtra",19.2656875,72.9641179,2.6928557177312364
Krishna Hospital (Vasai),THANE,MAHARASHTRA,3.6,102.0,"9RJF+XF Vasai-Virar, Maharashtra",19.3824375,72.8211179,1.5807150943583934
Laxmi Hospital,THANE,MAHARASHTRA,4.6,7.0,,19.2086875,72.9576179,0.8769797907107035
Life Care Hospital,THANE,MAHARASHTRA,4.0,94.0,"6X56+F3 Thane, Maharashtra",19.2086875,72.9576179,1.7319955152237319
Lifeline Multispeciality Hospital,THANE,MAHARASHTRA,3.8,119.0,"6X3C+4Q Thane, Maharashtra",19.2028125,72.9693679,1.729718233709652
Lifecare Charitable Hospital (Nalasopara),THANE,MAHARASHTRA,3.5,156.0,"CR7G+WP Mumbai, Maharashtra",19.4148125,72.8242429,1.6807298930592631
Lotuss Hospital,THANE,MAHARASHTRA,4.8,168.0,"7VQ9+QM Mumbai, Maharashtra",19.2894375,72.8666179,2.3653940910154394
Maa Vaishnavi Multispeciality Hospital,THANE,MAHARASHTRA,3.4,57.0,"5XJF+88 Thane, Maharashtra",19.1808125,72.9707429,1.2960894866726385
Metropol Multispeciality Hospital Llp,Thane,MAHARASHTRA,4.1,349.0,"6XPG+96 Thane, Maharashtra",19.2359375,72.9729929,2.3054952931974
Modi Hospital,THANE,MAHARASHTRA,4.5,82.0,"5WQW+G8 Thane, Maharashtra",19.1888125,72.9432429,1.8969948099630698
"Neel Orthopedic Super Speciality Hospital 1st Floor, Sheetal Niketan Co-Op Housing Soc.,,Opp. Hum",THANE,MAHARASHTRA,4.4,159.0,"8V45+83 Mira Bhayandar, Maharashtra",19.3058125,72.8551179,2.1387675991877435
"Neptune Superspeciality Hospital 
(Dombivali)",THANE,MAHARASHTRA,3.9,75.0,"6423+98 Dombivli, Maharashtra",19.2009375,73.1007429,1.6009620504249507
New Sai Ganga Hospital,THANE,MAHARASHTRA,3.6,36.0,"8V57+74 Mira Bhayandar, Maharashtra",19.3081875,72.8602429,1.2164005757494145
Noble Hospital Dombivli,THANE,MAHARASHTRA,3.9,445.0,"639Q+37 Dombivli, Maharashtra",19.3474375,72.7991179,2.2831284752540117
Om Hospital(Vasai),THANE,MAHARASHTRA,2.7,61.0,"8RW2+XM Vasai-Virar, Maharashtra",19.3474375,72.7991179,1.032940371988267
Omkar Hospital & Icu (Thane),THANE,MAHARASHTRA,4.1,228.5,"6X8H+26 Thane, Maharashtra",19.2071875,73.0928679,2.134461682575174
Optilife Multispeciality Hospital,THANE,MAHARASHTRA,3.8,212.0,"634W+V5 Dombivli, Maharashtra",19.2071875,73.0928679,1.9452437109619878
Orange Hospital-Mira Road,THANE,MAHARASHTRA,3.1,58.0,"7VX9+R2 Mira Bhayandar, Maharashtra",19.2995625,72.8649929,1.180921353678139
Orthonova Hospital(Thane),Thane,MAHARASHTRA,4.2,78.0,"6XMG+R7 Thane, Maharashtra",19.2345625,72.9731179,1.7454555592518655
"Oscar And Multispeciality Centre 
Hospital.",THANE,MAHARASHTRA,4.2,247.0,"6XPF+MP Thane, Maharashtra",19.2366875,72.9717429,2.220377480829689
Ozone Multispeciality Hospital,THANE,MAHARASHTRA,4.2,87.0,"7229+C7 Bhiwandi, Maharashtra",19.2510625,73.0156179,1.79024549712378
Platinum Hospitals (Thane),Thane,MAHARASHTRA,4.2,720.0,"5XM3+3J Mumbai, Maharashtra",19.1826875,72.9514929,2.663428245462769
Pragati Hospital And Icu,THANE,MAHARASHTRA,3.6,61.0,,19.2125625,73.1041179,1.4000918447007804
"Rr Hospital Kagzi Hospital And Medical 
Research Center",Thane,MAHARASHTRA,3.8,196.0,"6474+2M Dombivli, Maharashtra",19.2125625,73.1041179,1.9159128722702081
Revival Bone And Joint Hospital,THANE,MAHARASHTRA,4.3,119.0,"5XQ8+6F Thane, Maharashtra",19.1880625,72.9636179,1.9663277442174052
S S Hospital And Research Centre,THANE,MAHARASHTRA,4.3,443.0,"62X9+X3 Bhiwandi, Maharashtra",19.2499375,73.0151179,2.5224123162996963
Sai Criticare Hospital (Thane),THANE,MAHARASHTRA,3.0,23.0,"6X66+4H Thane, Maharashtra",19.2103125,72.9588679,0.8738889509520227
Sai Dham Hospital,THANE,MAHARASHTRA,4.0,42.0,"6X44+G9 Thane, Maharashtra",19.2103125,72.9588679,1.4185873691380744
Sai Jyot Multispeciality Hospital.,Thane,MAHARASHTRA,4.7,428.0,"637Q+G9 Dombivli, Maharashtra",19.3046875,72.8514929,2.7474625146685456
Sai Vedant Multi Speciality Hospital,THANE,MAHARASHTRA,4.0,40.0,"8V33+VJ Mira Bhayandar, Maharashtra",19.3046875,72.8514929,1.3997562150168756
Saibaba Hospital And Polyclinic,THANE,MAHARASHTRA,3.7,15.0,"7VCH+3P Mira Bhayandar, Maharashtra",19.2701875,72.8767429,0.9454938368599775
"Samartha Hospital (A Unit Of Sadafal 
Medical Centre Pvt Ltd)",THANE,MAHARASHTRA,3.9,219.0,"7VJF+JQ Mumbai, Maharashtra",19.2815625,72.8718679,2.010702464065185
Sapphire Hospitals Pvt Ltd,Thane,MAHARASHTRA,1.0,1.0,"6233+8G Thane, Maharashtra",19.2033125,73.0012429,0.0
"Satya Sai Platinum Hospital (A Unit Of 
Platinum Hospital)",THANE,MAHARASHTRA,4.8,4169.0,"65J5+R2 Ulhasnagar, Maharashtra",19.4210625,72.8138679,3.886390206206716
Seema Multispeciality Hospital,Thane,MAHARASHTRA,4.4,173.0,"CRC8+CH Nala Sopara, Maharashtra",19.4210625,72.8138679,2.1752491201591995
Seven Eleven Hospital,Thane,MAHARASHTRA,3.7,25.0,,19.2948125,72.8534929,1.1230566858019388
"Shah Life Line Hospital And Heart 
Institute Pvt Ltd",Thane,MAHARASHTRA,4.5,1006.0,"7VV4+WC Mumbai, Maharashtra",19.2948125,72.8534929,3.007171640112426
Sham Bharati Multi Speciality Hospital,THANE,MAHARASHTRA,4.3,104.0,"7VP9+9Q Mira Bhayandar, Maharashtra",19.2859375,72.8668679,1.9095725010469293
"Shraddha General Hospital And Icu 
Centre",Thane,MAHARASHTRA,3.7,134.0,"65J7+7G Ulhasnagar, Maharashtra",19.2306875,73.1612429,1.7254726543538175
Shree Mahaganpati Hospital(Thane),Thane,MAHARASHTRA,4.3,227.0,"76W9+XR Titwala, Maharashtra",19.2974375,73.2169929,2.239136801875201
"Shree Siddhivinayak Urology And 
Multispecialty Hospital",Thane,MAHARASHTRA,4.8,1863.0,"6X56+F3 Thane, Maharashtra",19.2086875,72.9576179,3.5043628381186154
"Siddhivinayak Multispeciality Hospitaland 
Cardic Care Center",THANE,MAHARASHTRA,4.8,1863.0,"6X56+F3 Thane, Maharashtra",19.2280625,73.1396179,3.5043628381186154
Sparsh Childrens Hospital-Kalyan,THANE,MAHARASHTRA,4.5,507.0,"64HR+6V Kalyan, Maharashtra",19.2280625,73.1396179,2.7028161623792286
"Sparsh Multispeciality Hospital And 
I.C.C.U",THANE,MAHARASHTRA,3.3,18.0,"6X43+GQ Thane, Maharashtra",19.2063125,72.9518679,0.8919268694437095
Surekha Criticare Hospital,Thane,MAHARASHTRA,4.0,239.0,"65G8+JG Ulhasnagar, Maharashtra",19.2265625,73.1637429,2.0984182225098484
Sushrut Hospital Nallasopara,THANE,MAHARASHTRA,4.7,379.0,"CR97+W6 Nala Sopara, Maharashtra",19.4198125,72.8104929,2.6911167222671812
Varad Hospital And Icu,THANE,MAHARASHTRA,3.0,12.0,"6X2H+W7 Thane, Maharashtra",19.2023125,72.9756179,0.6920822467146991
"Ved Hospital Super Specialitty And 
Research Center",Thane,MAHARASHTRA,4.8,28.0,"6X4F+X3 Thane, Maharashtra",19.2074375,72.9701179,1.5291176374945592
"Vedant Hospital A Unit Of Shree 
Vighnaharta Healthcare",THANE,MAHARASHTRA,2.8,121.0,"6X56+HM Thane, Maharashtra",19.2089375,72.9591179,1.261073955674705
Vedant Multispeciality Hospital,THANE,MAHARASHTRA,2.8,121.0,"6X56+HM Thane, Maharashtra",19.2089375,72.9591179,1.261073955674705
Venus Hospital Multispeciality And Icu,Thane,MAHARASHTRA,3.7,73.0,"637H+QJ Dombivli, Maharashtra",19.2144375,73.0764929,1.505594619332247
Vitthal Krupa Hospital,THANE,MAHARASHTRA,4.3,159.0,"64GR+P4 Kalyan, Maharashtra",19.2268125,73.1377429,2.0886021072482657
Wockhardt Hospitals Ltd,THANE,MAHARASHTRA,4.7,13406.0,"7VM6+PV Mira Bhayandar, Maharashtra",19.2843125,72.8596179,4.346550580061976
Global Hospital,THANE,MAHARASHTRA,4.2,61.0,,19.2411875,73.1444929,1.6448594931757898
"Dr Wankhades Fracture and Accident 
Hospital",THANE,MAHARASHTRA,4.5,132.0,"64RW+FR Kalyan, Maharashtra",19.2411875,73.1444929,2.1067227125701264
Sai Kripa Maternity Hospital,THANE,MAHARASHTRA,5.0,1.0,,19.2255625,72.9787429,0.2740561845970949
Phoenix Hospital and ICU,THANE,MAHARASHTRA,4.4,98.0,"6XGJ+6G Thane, Maharashtra",19.2255625,72.9787429,1.9299837536464883
Sawant Hospital,THANE,MAHARASHTRA,4.5,78.0,"63CJ+R8 Dombivli West, Dombivli, Maharashtra",19.2220625,73.0782429,1.875024816780518
"Shree Maternari Hospital And General 
Hospital",THANE,MAHARASHTRA,5.0,2.0,"52QF+X2 Thane, Maharashtra",19.1899375,73.0199929,0.47444692344711425
